alpha,fold,catboost_weight,poisson_weight,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1,predicted_draws,actual_draws
0.3,Fold 2,0.05,0.95,185,0.518918918918919,0.9987073663991012,0.0,0.0,0.0,0,43
0.3,Fold 2,0.1,0.9,185,0.5243243243243243,0.9984439973401378,0.0,0.0,0.0,0,43
0.3,Fold 2,0.15000000000000002,0.85,185,0.5243243243243243,0.9982416686160032,0.0,0.0,0.0,0,43
0.3,Fold 2,0.2,0.8,185,0.5243243243243243,0.9981004760917114,0.0,0.0,0.0,0,43
0.3,Fold 2,0.25,0.75,185,0.5243243243243243,0.9980205887182432,0.0,0.0,0.0,0,43
0.3,Fold 2,0.30000000000000004,0.7,185,0.5243243243243243,0.9980022491858913,0.0,0.0,0.0,0,43
0.3,Fold 2,0.35000000000000003,0.6499999999999999,185,0.5297297297297298,0.9980457750407368,0.0,0.0,0.0,0,43
0.3,Fold 2,0.4,0.6,185,0.5351351351351351,0.9981515602772999,0.0,0.0,0.0,0,43
0.3,Fold 2,0.45,0.55,185,0.5297297297297298,0.9983200774282048,0.0,0.0,0.0,0,43
0.3,Fold 2,0.5,0.5,185,0.5351351351351351,0.9985518801800799,0.0,0.0,0.0,0,43
0.3,Fold 2,0.55,0.44999999999999996,185,0.5459459459459459,0.9988476065540874,0.0,0.0,0.0,0,43
0.3,Fold 2,0.6000000000000001,0.3999999999999999,185,0.5513513513513514,0.9992079826998007,0.0,0.0,0.0,0,43
0.3,Fold 2,0.65,0.35,185,0.5513513513513514,0.9996338273629328,0.0,0.0,0.0,0,43
0.3,Fold 2,0.7000000000000001,0.29999999999999993,185,0.5513513513513514,1.0001260571011696,0.0,0.0,0.0,0,43
0.3,Fold 2,0.75,0.25,185,0.5459459459459459,1.000685692338549,0.0,0.0,0.0,0,43
0.3,Fold 2,0.8,0.19999999999999996,185,0.5405405405405406,1.001313864368195,0.0,0.0,0.0,0,43
0.3,Fold 2,0.8500000000000001,0.1499999999999999,185,0.5405405405405406,1.0020118234365978,0.0,0.0,0.0,0,43
0.3,Fold 2,0.9,0.09999999999999998,185,0.5405405405405406,1.002780948071148,0.0,0.0,0.0,0,43
0.3,Fold 2,0.9500000000000001,0.04999999999999993,185,0.5351351351351351,1.0036227558477544,0.0,0.0,0.0,0,43
0.3,Fold 2,1.0,0.0,185,0.5405405405405406,1.0045389158390008,0.0,0.0,0.0,0,43
0.3,Fold 3,0.0,1.0,185,0.4810810810810811,1.024004121087824,0.0,0.0,0.0,0,38
0.3,Fold 3,0.05,0.95,185,0.4864864864864865,1.0213719941042974,0.0,0.0,0.0,0,38
