fold,draw_weight,fixture_id,kickoff,home_team_id,away_team_id,actual,prediction,p_home,p_draw,p_away,confidence,best_iteration,features_count,correct,max_non_draw,draw_rank
Fold 1,1.0,1247,2025-02-22 14:00:00,74,59,D,A,0.2344087342787434,0.2362744965236871,0.5293167691975694,0.5293167691975694,48,60,False,0.5293167691975694,2.0
Fold 2,1.0,625,2025-04-13 13:00:00,13,18,D,H,0.6055220306467161,0.2355454235782685,0.1589325457750154,0.6055220306467161,44,60,False,0.6055220306467161,2.0
Fold 3,1.0,970,2025-05-03 13:30:00,52,40,D,A,0.1894558202534373,0.2339839172202454,0.5765602625263173,0.5765602625263173,273,60,False,0.5765602625263173,2.0
Fold 3,1.0,655,2025-05-04 13:00:00,15,2,D,H,0.3892109361959094,0.2338166700650167,0.3769723937390737,0.3892109361959094,273,60,False,0.3892109361959094,3.0
Fold 2,1.0,1296,2025-03-31 18:45:00,59,70,D,H,0.5362840999447789,0.2326089127401477,0.2311069873150734,0.5362840999447789,44,60,False,0.5362840999447789,2.0
Fold 2,1.0,953,2025-04-19 13:30:00,52,57,D,H,0.5933112536890932,0.2325143461537904,0.1741744001571163,0.5933112536890932,44,60,False,0.5933112536890932,2.0
Fold 2,1.0,1299,2025-04-05 16:00:00,75,72,D,A,0.2391530257396875,0.2324408652214408,0.5284061090388716,0.5284061090388716,44,60,False,0.5284061090388716,3.0
Fold 3,1.0,654,2025-05-04 13:00:00,12,11,D,A,0.3147536823539711,0.2314115255452741,0.4538347921007548,0.4538347921007548,273,60,False,0.4538347921007548,3.0
Fold 2,1.0,947,2025-04-12 16:30:00,40,46,D,H,0.5708980787904153,0.2290538066895174,0.2000481145200673,0.5708980787904153,44,60,False,0.5708980787904153,2.0
Fold 2,1.0,620,2025-04-12 14:00:00,15,10,D,H,0.591126211604209,0.2244596104843113,0.1844141779114796,0.591126211604209,44,60,False,0.591126211604209,2.0
Fold 3,1.0,978,2025-05-10 13:30:00,43,52,D,H,0.4936132708426732,0.2215619737148212,0.2848247554425055,0.4936132708426732,273,60,False,0.4936132708426732,3.0
Fold 1,1.0,1258,2025-03-01 14:00:00,67,74,D,H,0.6321967143244683,0.2161288892271797,0.1516743964483518,0.6321967143244683,48,60,False,0.6321967143244683,2.0
Fold 2,1.0,1288,2025-03-29 14:00:00,77,73,D,H,0.6227742060064857,0.2159670548796535,0.1612587391138607,0.6227742060064857,44,60,False,0.6227742060064857,2.0
Fold 1,1.0,1237,2025-02-15 14:00:00,67,61,D,H,0.6286145483156164,0.2158097055221757,0.1555757461622079,0.6286145483156164,48,60,False,0.6286145483156164,2.0
