fold,fixture_id,actual,cat_prediction,cat_p_home,cat_p_draw,cat_p_away,hybrid_prediction,hybrid_p_home,hybrid_p_draw,hybrid_p_away,cat_correct,hybrid_correct,changed
Fold 1,179,H,H,0.4216779670541515,0.252128511142648,0.3261935218032005,H,0.3924196903084326,0.250842458151121,0.3567378515404464,True,True,False
Fold 1,546,H,A,0.305631077929287,0.3439917893275135,0.3503771327431992,A,0.3066969094621119,0.3216608279337655,0.3716422626041225,False,False,False
Fold 1,868,H,H,0.6674126162209406,0.1972558700337807,0.1353315137452787,H,0.6549029040406493,0.1970130938914393,0.1480840020679114,True,True,False
Fold 1,1222,D,A,0.260095235720288,0.2910228761020851,0.4488818881776268,A,0.2319217731661257,0.2683247688816004,0.4997534579522738,False,False,False
Fold 1,1594,H,A,0.3202649535213464,0.2795116319108703,0.4002234145677834,A,0.3412875213832969,0.2739034678998378,0.3848090107168653,False,False,False
Fold 1,180,H,H,0.4441154937315476,0.3018367519602957,0.2540477543081565,H,0.4526549675296491,0.2806063527441511,0.2667386797261998,True,True,False
Fold 1,1223,D,H,0.3940161415905294,0.2427409635168521,0.3632428948926185,A,0.3575908071289909,0.2425816827269382,0.3998275101440709,False,False,True
Fold 1,1595,D,H,0.4297243748888066,0.2507762349088797,0.3194993902023136,H,0.3848301543514418,0.2488441898721562,0.3663256557764019,False,False,False
Fold 1,1224,A,A,0.3176326732478456,0.2765890346866494,0.4057782920655047,A,0.3178459351958582,0.2659356512881947,0.4162184135159471,True,True,False
Fold 1,547,H,H,0.5858137758473061,0.2484855055307939,0.1657007186218999,H,0.5746932911859776,0.241970282028577,0.1833364267854455,True,True,False
Fold 1,1596,H,H,0.3816335032514781,0.3084225280816917,0.3099439686668302,H,0.3984648982625662,0.2872818790250977,0.3142532227123361,True,True,False
Fold 1,1225,H,A,0.2399821225113159,0.2807553141872568,0.4792625633014271,A,0.2306775420051743,0.2647097133527166,0.5046127446421091,False,False,False
Fold 1,181,A,H,0.3780478138507326,0.2669967049134042,0.354955481235863,H,0.3761265246974551,0.2633886734880034,0.3604848018145415,False,False,False
Fold 1,869,H,H,0.6517784103120178,0.2036171383485461,0.1446044513394361,H,0.6515555870307769,0.1972564964581108,0.1511879165111123,True,True,False
Fold 1,1226,A,A,0.2850377894912948,0.3137413891475112,0.4012208213611939,A,0.2948333808447242,0.2933285337512628,0.411838085404013,True,True,False
Fold 1,1597,H,H,0.5832055026380683,0.2417859777083733,0.1750085196535583,H,0.5823513609673102,0.236034902531706,0.1816137365009838,True,True,False
Fold 1,182,H,H,0.496067345985468,0.294632377852842,0.20930027616169,H,0.5014823122055974,0.277445217451711,0.2210724703426917,True,True,False
Fold 1,1598,H,H,0.4372451703874689,0.2896279964631508,0.2731268331493801,H,0.4259632565298556,0.2781672695521078,0.2958694739180366,True,True,False
Fold 1,1227,A,A,0.2146373200407556,0.2230715185882093,0.562291161371035,A,0.2165138664048817,0.2201147667346072,0.5633713668605109,True,True,False
Fold 1,870,H,H,0.5442230388661096,0.253648185899695,0.2021287752341954,H,0.5093208449146596,0.2473127329356401,0.2433664221497004,True,True,False
Fold 1,871,D,A,0.2498368340014302,0.2590255603492215,0.4911376056493484,A,0.2663309785422396,0.2473870950046429,0.4862819264531174,False,False,False
Fold 1,872,D,H,0.4044432744992702,0.2971349739618215,0.2984217515389081,H,0.4126800445361224,0.283147851511237,0.3041721039526406,False,False,False
Fold 1,873,A,H,0.4084604938856372,0.2700855648963891,0.3214539412179737,H,0.403215891255462,0.2605220063210696,0.3362621024234684,False,False,False
Fold 1,874,A,H,0.4965677114286408,0.2225859618471321,0.280846326724227,H,0.4946834129471989,0.2234543498354921,0.281862237217309,False,False,False
Fold 1,1599,H,H,0.4011001152104498,0.2950443267904173,0.3038555579991329,H,0.4006224536268668,0.2864994692252841,0.3128780771478491,True,True,False
